Rank,Title,Year,Director,Primary_Genre,Synopsis,Major_Awards,Key_Sources,Favorite,Watchlist,Rating,RatingTimestamp
141,Amelia,2009,Mira Nair,Drama/Biography,The life of aviation pioneer Amelia Earhart from her record-breaking flights to her mysterious disappearance is dramatized in Nairs disappointing biopic.,RT 20 MC 37; $14M on $40M; Swank Gere; Nairs misfire; biopic formula stale; commercial disaster; beautiful cinematography wasted on pedestrian script,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
142,Gamer,2009,Mark Neveldine and Brian Taylor,Action/Sci-Fi,Death row inmates are controlled by online players in a real-life video game and one prisoner fights for his freedom in this hyperkinetic exploitation sci-fi.,RT 28 MC 28; $20M on $50M; Butler Hall Ludacris; Crank directors excessive; commercial flop; dystopian gaming premise wasted; sensory overload,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
143,Pandorum,2009,Christian Alvart,Sci-Fi/Horror,Two crew members wake from hypersleep on a seemingly abandoned spaceship and discover a terrifying secret about its passengers and their destination.,RT 28 MC 28; $21M on $33M; Quaid Foster; underseen sci-fi horror; Event Horizon comparisons; claustrophobic space terror; cult following growing on streaming,"Metacritic, Rotten Tomatoes, Box Office Mojo, Letterboxd",,,,
144,Transformers: Revenge of the Fallen,2009,Michael Bay,Action/Sci-Fi,The Decepticons return seeking an ancient weapon on Earth and Sam discovers he holds the key to a Transformer prophecy in Bays louder more chaotic sequel.,Razzie Worst Picture; RT 20 MC 35; $836M on $200M; 4.2x return; writers strike affected script; fourth-highest 2009 grosser; Bay excess unlimited,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
145,G-Force,2009,Hoyt Yeatman,Animation/Action,A team of specially trained guinea pigs is dispatched to stop a diabolical billionaire in Disneys live-action/CGI hybrid spy comedy.,RT 22 MC 32; $292M on $150M; Bruckheimer produced; 1.9x return; talking guinea pigs; family audience reliable; Nicolas Cage voiced mole; forgettable but profitable,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
146,The Ugly Truth,2009,Robert Luketic,Comedy/Romance,A romantically challenged producer is forced to work with a chauvinistic TV personality whose crude dating theories start proving uncomfortably accurate.,RT 14 MC 28; $205M on $38M; 5.4x return; Heigl Butler; critic-proof; internationally massive; rom-com formula commercially reliable; audience far exceeded reviews,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
147,Year One,2009,Harold Ramis,Comedy,Two lazy prehistoric tribesmen are banished and wander through biblical history encountering Cain and Abel and the city of Sodom in Ramis sadly unfunny swan song.,RT 15 MC 27; $43M on $60M; Black Cera; Ramis final directorial film; commercial and critical failure; biblical comedy concept squandered,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
148,Did You Hear About the Morgans?,2009,Marc Lawrence,Comedy/Romance,A separated Manhattan couple in witness protection must pose as married in a tiny Wyoming town in this formulaic romantic comedy.,RT 11 MC 23; $85M on $58M; Grant Parker; 1.5x return; fish-out-of-water formula exhausted; stars coasted; internationally carried,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
149,Couples Retreat,2009,Peter Billingsley,Comedy,Four couples at a tropical resort are forced into intensive therapy sessions that expose their marital problems in this commercially successful ensemble comedy.,RT 10 MC 23; $171M on $60M; Vaughn Bateman Favreau Bell; 2.9x return; critic-proof; beautiful locations; marketed effectively; audiences less discriminating on vacation,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
150,Old Dogs,2009,Walt Becker,Comedy,Two best friends and business partners discover one has twins and must quickly learn parenting in Beckers critically savaged slapstick family comedy.,RT 5 MC 19; $97M on $35M; Travolta Williams; 2.8x return despite withering reviews; Seth Green gorilla scene; Razzies; last Williams comedy phase,"Metacritic, Rotten Tomatoes, Box Office Mojo, The Numbers",,,,
151,City of Life and Death,2009,Lu Chuan,War,"Filmed in stark, documentary-style black and white, the film reconstructs the Nanjing Massacre of 1937 through multiple perspectives — a young Japanese soldier haunted by what he is ordered to participate in, a Chinese man trying to protect his family, a Japanese officer operating the Safety Zone, and a group of women facing systematic targeting. Director Lu Chuan refuses both heroic nationalism and demonisation, instead presenting the massacre as a human catastrophe that destroyed everyone caught within it. The film was both a major critical achievement and a deeply controversial object of debate in China.",,LB War,,,,
152,Daddy Longlegs,2009,"Josh Safdie, Benny Safdie",Comedy,"Lenny, a divorced and emotionally erratic projectionist in New York, has his two young sons Sage and Frey for two weeks over the summer — a period of chaotic warmth, irresponsibility, and genuine love in which his inability to function as a dependable adult is as apparent as his affection for his children. Semi-autobiographical, low-budget, and shot in a restless handheld style, the Safdie Brothers' debut feature captures the specific texture of an under-resourced childhood in the city with rare unsentimental intimacy. It was shown in the Directors' Fortnight at Cannes 2009.",,2010s Comedy,,,,
153,Evangelion: 2.0 You Can (Not) Advance,2009,"Hideaki Anno, Kazuya Tsurumaki, Masayuki",Sci-Fi,"The second film in the Rebuild of Evangelion tetralogy introduces new Eva pilot Mari Illustrious Makinami and deepens Shinji's relationship with Rei Ayanami, while a new Angel threat pushes the Eva pilots to their limits. The film diverges significantly from the original television series, taking its story in bold new directions and ending with a seismic event — Shinji's berserk activation of Unit-01 — that promises a radically different continuation. It is the most structurally conventional and the most emotionally accessible of the Rebuild films.",,LB Sci-Fi,,,,
154,Gulaal,2009,Anurag Kashyap,Musical,"A naive law student named Dilip Singh arrives at a Rajasthan university and becomes entangled with a movement of students and ideologues seeking an independent Rajputana nation, led by the charismatic and dangerous Dukey Banna. As Dilip is drawn deeper into a world of political violence, romantic entanglement, and betrayal, the film becomes an elegy for corrupted idealism and the seductive danger of men who claim to speak for the people. Piyush Mishra's screenplay and songs give the film a literary richness unusual even in Anurag Kashyap's filmography.",,LB Musical,,,,
155,Ibrahim El-Abyad,2009,Marwan Hamed,Action,"Set in the Cairo underworld, the film traces the journey of Ibrahim, a man from the margins who claws his way into the criminal hierarchy through a combination of ferocity, cunning, and loyalty to a powerful crime boss, only to find that power at any level in the Egyptian underworld is provisional, bloody, and ultimately self-consuming. Marwan Hamed — director of the acclaimed The Yacoubian Building — brings an operatic scale to the Egyptian crime film genre, drawing on traditions of both Hollywood gangster cinema and classic Egyptian melodrama.",,LB Action,,,,
156,Mr. Nobody,2009,Jaco Van Dormael,Sci-Fi,"In 2092, Nemo Nobody is 118 years old and the last mortal human on Earth — everyone else has achieved immortality — and he lies in a hospital struggling to remember the details of his own life. The film fractures into multiple, coexisting versions of his past, each diverging from a single childhood moment on a rain-soaked railway platform when he had to choose between his separated parents. Jaco Van Dormael's ambitious Belgian science fiction epic asks whether any life is more real or more valid than its alternatives, starring Jared Leto in an extraordinary multiple-age performance.",,LB Sci-Fi,,,,
157,Red Cliff II,2009,John Woo,War,"The second part of John Woo's two-film adaptation of the Battle of Red Cliffs, the decisive 208 AD confrontation that ended Cao Cao's attempt to unify China under his control, brings the long-building military and strategic conflict to its spectacular conclusion. The allied Southern forces of Sun Quan and Liu Bei deploy the famous fire attack strategy against Cao Cao's massive navy, with John Woo staging the battle at enormous scale. The complete two-part film, running nearly five hours, is the most expensive Chinese-language film ever produced at the time of release.",,LB War,,,,
158,The Breath,2009,Levent Semerci,War,"A Turkish special forces unit is sent on a counter-terrorism operation in the snow-covered mountains of southeastern Anatolia, where they must hold their position against a sustained PKK attack through an unrelenting night of combat. The film is less interested in political context than in the physical and psychological extremity of modern infantry combat — the cold, the exhaustion, the fear, and the bond between soldiers under fire. Released as Nefes: Vatan Sağolsun in Turkey, it became one of the most commercially successful Turkish films of its era.",,LB War,,,,
159,The Damned United,2009,Tom Hooper,Biography/Drama,"Based on David Peace's novelistic account of Brian Clough's infamous 44-day tenure as manager of Leeds United in 1974, the film portrays a man whose extraordinary self-belief, tactical genius, and volcanic relationships — particularly his long rivalry with Leeds's previous manager Don Revie — combine to spectacular and catastrophic effect. Michael Sheen delivers a brilliant, physically captivating performance as Clough, and the film works simultaneously as a psychological portrait, a sports drama, and a dark comedy about ambition and pride. It was based on Peace's novel of the same name.",,LB Biographical,,,,
160,The Secret of Kells,2009,"Tomm Moore, Nora Twomey",Animation,"In a medieval Irish monastery, a young boy named Brendan secretly befriends a fairy from the ancient forest and is drawn into the dangerous quest to complete the Book of Kells — a legendary illuminated manuscript of extraordinary spiritual and artistic power — against the wishes of his protective Abbot uncle and with the threat of Viking raids growing ever closer. The Irish-French-Belgian co-production is rendered in a flat, geometric animation style inspired by the Book of Kells itself and by medieval Celtic art, creating a visually distinctive and enchanting world. It received an Academy Award nomination for Best Animated Feature.",,LB Animated,,,,
